activitytype,flowobject
A_ALUM,C_ALUM
A_ALUO,C_ALUO
A_ALUW,C_ALUW
A_AL_INCI,C_AL_INCI
A_AL_LAND,C_AL_LAND
A_ASHW,C_ASHW
A_AS_LAND,C_AS_LAND
A_Agavs,C_Agavs
A_Almod,C_Almod
A_Almol,C_Almol
A_Anisr,C_Anisr
A_Appls,C_Appls
A_Apris,C_Apris
A_Apriy,C_Apriy
A_Arecs,C_Arecs
A_Artis,C_Artis
A_Aspas,C_Aspas
A_Avocs,C_Avocs
A_BA_INCI,C_BA_INCI
A_BA_INCI_no_recov,C_BA_INCI_no_recov
A_BA_LAND,C_BA_LAND
A_BA_RECY,C_BA_RECY
A_BRIK,C_BRIK
A_Bambs,C_Bambs
A_Banas,C_Banas
A_Barly,C_Barly
A_Bastr,C_Bastr
A_Beann,C_Beann
A_Beany,C_Beany
A_Beer,C_Beer_barl
A_Berrs,C_Berrs
A_Blues,C_Blues
A_Brazd,C_Brazd
A_Brazl,C_Brazl
A_Broay,C_Broay
A_Buckt,C_Buckt
A_Bufmilk,C_Bufmilk
A_CHEM,C_ADDC
A_CHEM,C_BIOD
A_CHEM,C_BIOG
A_CHEM,C_CHEM
A_CHEM,C_OBIO
A_CHEM,C_REFF
A_CHMF,C_CHMF
A_CHP,C_heat_CHP
A_CMNT,C_CMNT
A_COAL,C_ANTH
A_COAL,C_COKC
A_COAL,C_LIBC
A_COAL,C_OTBC
A_COAL,C_PEAT
A_COAL,C_SUBC
A_COIL,C_COIL
A_COKE,C_BKBP
A_COKE,C_CHAR
A_COKE,C_COKE
A_COKE,C_COOG
A_COKE,C_COTA
A_COKE,C_OGPL
A_COKE,C_PATF
A_COMP,C_COMP
A_CONS,C_CONS
A_CONW,C_CONW
A_COPO,C_COPO
A_COPP,C_COPP
A_COPW,C_COPW
A_CO_INCI,C_CO_INCI
A_CO_INCI_no_recov,C_CO_INCI_no_recov
A_CO_LAND,C_CO_LAND
A_CO_OTHE,C_CO_OTHE
A_CRMC,C_CRMC
A_CU_INCI,C_CU_INCI
A_CU_LAND,C_CU_LAND
A_Cabbs,C_Cabbs
A_Canad,C_Canad
A_Caros,C_Caros
A_Carrs,C_Carrs
A_Cashd,C_Cashd
A_Cashe,C_Cashe
A_Cashl,C_Cashl
A_Cassa,C_Cassa
A_Cassa,C_Casss
A_Cassd,C_Cassd
A_Castd,C_Castd
A_Cauli,C_Cauli
A_Ceres,C_Ceres
A_Cherr,C_Cherr
A_Chers,C_Chers
A_Chest,C_Chest
A_Chick,C_Chick
A_Chics,C_Chics
A_Chiln,C_Chiln
A_Chily,C_Chily
A_Cinn,C_Cinn
A_Clovs,C_Clovs
A_Cocader,C_Chocs
A_Cocader,C_Coco_but
A_Cocader,C_Coco_husk
A_Cocader,C_Coco_pas
A_Cocader,C_Coco_pow
A_Cocoa,C_Cocoa
A_Cocod,C_Cocod
A_Cocon,C_Cocon
A_Coffn,C_Coffn
A_Cowmilk,C_Catmilk
A_Cowpea,C_Cowpea
A_Crans,C_Crans
A_Cucus,C_Cucus
A_Currs,C_Currs
A_DE_INCI,C_DE_INCI
A_DE_INCI_no_recov,C_DE_INCI_no_recov
A_DE_LAND,C_DE_LAND
A_DE_OTHE,C_DE_OTHE
A_DE_RECY,C_DE_RECY
A_DV_INCI,C_DV_INCI
A_DV_LAND,C_DV_LAND
A_DV_RECY,C_DV_RECY
A_Dates,C_Dates
A_EDUC,C_EDUC
A_ELMA,C_ELMA
A_Eggpl,C_Eggpl
A_FABM,C_FABM
A_FAUX,C_FAUX
A_FINS,C_FINS
A_FINT,C_FINT
A_FOOD_w_water,C_FOOD_w_water
A_FORE,C_FORE
A_FORE,C_FORE_comb
A_FO_OTHE,C_FO_OTHE
A_FO_RECY,C_FO_RECY
A_Nat_Fish,C_FISH
A_FSHP,C_FSHP
A_FURN,C_FURN
A_F_aqua,C_F_aqua
A_F_capture,C_F_capture
A_Figsd,C_Figsd
A_Figss,C_Figss
A_Flaxw,C_Flaxw
A_Fonio,C_Fonio
A_Frozfrui,C_Sween
A_Frozvege,C_Potan
A_GARM,C_GARM
A_GASD,C_GASD
A_GASE,C_GASE
A_GASE,C_GASL
A_GLAS,C_GLAS
A_GLAS_reuse,C_GLAS_reuse
A_GLAW,C_GLAW
A_GL_INCI,C_GL_INCI
A_GL_INCI_no_recov,C_GL_INCI_no_recov
A_GL_LAND,C_GL_LAND
A_Garlc,C_Garlc
A_Germe,C_Germe
A_Germt,C_Germt
A_Gingr,C_Gingr
A_Goamilk,C_Coamilk
A_Gooss,C_Gooss
A_Graid,C_Graid
A_Grapf,C_Grapf
A_Graps,C_Graps
A_Grou_shld,C_Grou_shld
A_Groul,C_Groul
A_HA_ENER,C_HA_ENER
A_HA_INCI,C_HA_INCI
A_HA_INCI_no_recov,C_HA_INCI_no_recov
A_HA_LAND,C_HA_LAND
A_HA_OTHE,C_HA_OTHE
A_HA_RECY,C_HA_RECY
A_HEAL,C_HEAL
A_HORE,C_HORE
A_Haze_shld,C_Haze_shld
A_Hazel,C_Hazel
A_Hempd,C_Hemp
A_Hempd,C_Hempd
A_Honel,C_Beesx
A_Honel,C_Honel
A_Hops,C_Hops
A_INCF,C_INCF
A_INCF_no_recov,C_INCF_no_recov
A_INCL,C_INCL
A_INCL_no_recov,C_INCL_no_recov
A_INCP,C_INCP
A_INCP_no_recov,C_INCP_no_recov
A_INCW,C_INCW
A_INCW_no_recovery,C_INCW_no_recovery
A_IRON,C_IRON
A_Jojod,C_Jojod
A_Jufruveg,C_Frudry
A_Jufruveg,C_Fruhom
A_Jufruveg,C_Fruprep
A_Jufruveg,C_Grou_prep
A_Jufruveg,C_Juice_appl
A_Jufruveg,C_Juice_appl_con
A_Jufruveg,C_Juice_frui
A_Jufruveg,C_Juice_grapef
A_Jufruveg,C_Juice_grapes
A_Jufruveg,C_Juice_grapfrt
A_Jufruveg,C_Juice_lemo
A_Jufruveg,C_Juice_lemo_con
A_Jufruveg,C_Juice_mang
A_Jufruveg,C_Juice_oran
A_Jufruveg,C_Juice_oran_con
A_Jufruveg,C_Juice_pine
A_Jufruveg,C_Juice_pine_con
A_Jufruveg,C_Juice_tang
A_Jufruveg,C_Juice_toma
A_Jufruveg,C_Juice_vege
A_Jufruveg,C_Mangp
A_Jufruveg,C_Mush_can
A_Jufruveg,C_Mush_dry
A_Jufruveg,C_Nuts
A_Jufruveg,C_Pined
A_Jufruveg,C_Raiss
A_Jufruveg,C_Sweed
A_Jufruveg,C_Tomad
A_Jufruveg,C_Tomae
A_Jufruveg,C_Vegeh
A_Jute,C_Jute
A_Kapod,C_Kapod
A_Kapot,C_Kapol
A_Kapot,C_Kapot
A_Kari,C_Kari
A_Kfert,C_Kfert
A_Kiwi,C_Kiwi
A_Kola,C_Kola
A_LANF,C_LANF
A_LANL,C_LANL
A_LANP,C_LANP
A_LANW,C_LANW
A_LETH,C_LETH
A_LZTO,C_LZTO
A_LZTP,C_LZTP
A_LZTW,C_LZTW
A_LZT_INCI,C_LZT_INCI
A_LZT_LAND,C_LZT_LAND
A_Leeks,C_Leeks
A_Lemos,C_Lemos
A_Lents,C_Lents
A_Letty,C_Letty
A_Linsd,C_Linsd
A_Lupis,C_Lupis
A_MACH,C_MACH
A_MANC,C_MANC
A_MARE,C_MARE
A_MA_INCI,C_MA_INCI
A_MA_INCI_no_recov,C_MA_INCI_no_recov
A_MA_LAND,C_MA_LAND
A_MA_OTHE,C_MA_OTHE
A_MA_RECY,C_MA_RECY
A_MDIA,C_MDIA
A_MEIN,C_MEIN
A_METC,C_METC
A_MGWG,C_GCOK
A_MGWG,C_MGWG
A_MM_INCI,C_MM_INCI
A_MM_INCI_no_recov,C_MM_INCI_no_recov
A_MM_LAND,C_MM_LAND
A_MM_OTHE,C_MM_OTHE
A_MM_RECY,C_MM_RECY
A_MNF_INCI,C_MNF_INCI
A_MNF_INCI_no_recov,C_MNF_INCI_no_recov
A_MNF_LAND,C_MNF_LAND
A_MNF_OTHE,C_MNF_OTHE
A_MNF_RECY,C_MNF_RECY
A_MOTO,C_MOTO
A_Maize,C_Maize
A_Maizn,C_Maizn
A_Mangs,C_Mangs
A_Manila,C_Manila
A_Mate,C_Mate
A_Melon,C_Melon
A_Melonse,C_Melonse
A_Millt,C_Millt
A_Mushs,C_Mushs
A_Mustd,C_Mustd
A_NIKO,C_NIKO
A_NK_fert,C_NK_fert
A_NPK,C_NPK
A_NP_fert,C_NP_fert
A_NUCF,C_NUCF
A_N_AmmNit,C_N_AmmNit
A_N_AmmSol,C_N_AmmSol
A_N_CaAmNit,C_N_CaAmNit
A_N_solution,C_N_solution
A_N_urea,C_N_urea
A_Nat_Elec,C_ELEC
A_Nat_Heat,C_HWAT
A_Nutms,C_Nutms
A_Nutss,C_Nutss
A_OBUS,C_OBUS
A_OFMA,C_OFMA
A_OGPL,C_OGPL
A_ONFM,C_ONFM
A_ONFO,C_ONFO
A_ONFW,C_ONFW
A_ONF_INCI,C_ONF_INCI
A_ONF_LAND,C_ONF_LAND
A_ONMM,C_ONMM
A_ORAN,C_ORAN
A_ORGA,C_ORGA
A_OSER,C_OSER
A_OTRE,C_OTRE
A_Oatss,C_Oatss
A_Oiloliv,C_Oil_olive
A_Oiloliv,C_Oil_olivres
A_Oilpalm,C_Oil_palm
A_Oilrape,C_Oil_rape
A_Oilsoy,C_Cksoyb
A_Oilsoy,C_Soyace
A_Oilsoy,C_Soyard
A_Oilsoy,C_Soyate
A_Oilss,C_Oilss
A_Okraa,C_Okraa
A_Olivs,C_Olivs
A_Onion,C_Onion
A_Onioy,C_Onioy
A_Orans,C_Orans
A_Othalbev,C_Beer_maiz
A_Othalbev,C_Beer_millet
A_Othalbev,C_Beer_sorg
A_Othalbev,C_Bev_dstl
A_Othalbev,C_Bev_ferm
A_Othalbev,C_Cider
A_Othdiar,C_Butt_buff
A_Othdiar,C_Butt_cow
A_Othdiar,C_Butt_goat
A_Othdiar,C_Butt_sheep
A_Othdiar,C_Buttk
A_Othdiar,C_Butts
A_Othdiar,C_Casen
A_Othdiar,C_Chee_buff
A_Othdiar,C_Chee_cow_sk
A_Othdiar,C_Chee_cow_wh
A_Othdiar,C_Chee_goat
A_Othdiar,C_Chee_proc
A_Othdiar,C_Chee_sheep
A_Othdiar,C_Creah
A_Othdiar,C_Ghee_buff
A_Othdiar,C_Ghee_cow
A_Othdiar,C_Ice e
A_Othdiar,C_Lacte
A_Othdiar,C_Tallw
A_Othdiar,C_Whey_con
A_Othdiar,C_Whey_dry
A_Othdiar,C_Wheye
A_Othdiar,C_Yoght
A_Othflour,C_Flour_barl
A_Othflour,C_Flour_buck
A_Othflour,C_Flour_cass
A_Othflour,C_Flour_foni
A_Othflour,C_Flour_frui
A_Othflour,C_Flour_maiz
A_Othflour,C_Flour_mill
A_Othflour,C_Flour_mixe
A_Othflour,C_Flour_must
A_Othflour,C_Flour_pota
A_Othflour,C_Flour_puls
A_Othflour,C_Flour_rice
A_Othflour,C_Flour_root
A_Othflour,C_Flour_rye
A_Othflour,C_Flour_sorg
A_Othflour,C_Flour_trit
A_Othflour,C_Gluten_mais
A_Othflour,C_Gluten_rice
A_Othflour,C_Malt_ext
A_Othflour,C_Maltt
A_Othflour,C_Oatsd
A_Othflour,C_Starch_cass
A_Othflour,C_Starch_maiz
A_Othflour,C_Starch_pota
A_Othflour,C_Starch_rice
A_Othflour,C_Tapia
A_Othflour,C_Tapis
A_Othmeat,C_Othanpr
A_Othproc,C_Barld
A_Othproc,C_Barlt
A_Othproc,C_Bread
A_Othproc,C_Cer_brkf
A_Othproc,C_Cer_prep
A_Othproc,C_Flour_nes
A_Othproc,C_Mixes
A_Othproc,C_Pasty
A_Othproc,C_Wafes
A_Othvoils,C_Ckcopra
A_Othvoils,C_Ckcotton
A_Othvoils,C_Ckgound
A_Othvoils,C_Ckkapok
A_Othvoils,C_Cklins
A_Othvoils,C_Ckmaize
A_Othvoils,C_Ckmust
A_Othvoils,C_Cksunf
A_Othvoils,C_Oil_coco
A_Othvoils,C_Oil_cott
A_Othvoils,C_Oil_grou
A_Othvoils,C_Oil_hemp
A_Othvoils,C_Oil_hydr
A_Othvoils,C_Oil_kapo
A_Othvoils,C_Oil_lins
A_Othvoils,C_Oil_maiz
A_Othvoils,C_Oil_must
A_Othvoils,C_Oil_popp
A_Othvoils,C_Oil_sunf
A_Othvoils,C_Peanr
A_Othvoils,C_cOil_beans
A_Othvoils,C_vOil_nes
A_PADF,C_PADF
A_PAPE,C_PAPE
A_PAPR,C_PAPR
A_PA_OTHE,C_PA_OTHE
A_PK_fert,C_PK_fert
A_PLAS,C_PLAS
A_PLAW,C_PLAW
A_PL_OTHE,C_PL_OTHE
A_PM_INCI,C_PM_INCI
A_PM_LAND,C_PM_LAND
A_POWB,C_elec_POWB
A_POWC,C_elec_POWC
A_POWD,C_POWD
A_POWG,C_elec_POWG
A_POWH,C_elec_POWH
A_POWM,C_elec_POWM
A_POWN,C_elec_POWN
A_POWO,C_elec_POWO
A_POWP,C_elec_POWP
A_POWS,C_elec_POWS
A_POWW,C_elec_POWW
A_POWZ,C_elec_POWZ
A_PREM,C_PREM
A_PREO,C_PREO
A_PREW,C_PREW
A_PRHH,C_PRHH
A_PTEL,C_PTEL
A_PULP,C_PULP
A_Papas,C_Papas
A_Pasta,C_Macai
A_Peacs,C_Peacs
A_Pears,C_Pears
A_Peasn,C_Peasn
A_Peasy,C_Peasy
A_Pepp,C_Pepp
A_Peppt,C_Peppt
A_Perss,C_Perss
A_Pfert,C_Pfert
A_Piges,C_Piges
A_Pines,C_Pines
A_Pists,C_Pists
A_Plans,C_Plans
A_Plum,C_Plum
A_Plums,C_Plums
A_Poleggs,C_Eggsl
A_Poppd,C_Poppd
A_Potas,C_Potas
A_Prmilk,C_Milk_dry
A_Prmilk,C_Milk_prod
A_Prmilk,C_Milk_skim_buff
A_Prmilk,C_Milk_skim_cow
A_Prmilk,C_Milk_skim_dried
A_Prmilk,C_Milk_skim_she
A_Prmilk,C_Wheyh
A_Prorice,C_Rice_brok
A_Prorice,C_Rice_husk
A_Prorice,C_Rice_milhusk
A_Prorice,C_Rice_mill
A_Pulss,C_Pulss
A_Pumps,C_Pumps
A_Pyred,C_Pyred
A_Quina,C_Quina
A_Quins,C_Quins
A_RATV,C_RATV
A_REAL,C_REAL
A_RECR,C_RECR
A_REFN,C_AGSL
A_REFN,C_BITU
A_REFN,C_DOIL
A_REFN,C_ETHA
A_REFN,C_FOIL
A_REFN,C_GJET
A_REFN,C_KERO
A_REFN,C_KJET
A_REFN,C_LPGA
A_REFN,C_LUBR
A_REFN,C_MGSL
A_REFN,C_NAPT
A_REFN,C_NSPP
A_REFN,C_PARW
A_REFN,C_PETC
A_REFN,C_RGAS
A_REFN,C_WHSP
A_RESD,C_RESD
A_RUBP,C_RUBP
A_RYMS,C_RYMS
A_Ramie,C_Ramie
A_Raped,C_Raped
A_Rasps,C_Rasps
A_Ricey,C_Ricey
A_Roots,C_Roots
A_Roscoff,C_Coff_ext
A_Roscoff,C_Coff_sub
A_Roscoff,C_Coffe_roas
A_Rubber,C_Rubber
A_Ryee,C_Ryee
A_SDCL,C_SDCL
A_SE_INCI,C_SE_INCI
A_SE_INCI_no_recov,C_SE_INCI_no_recov
A_SE_LAND,C_SE_LAND
A_SE_OTHE,C_SE_OTHE
A_SE_RECY,C_SE_RECY
A_SE_biog,C_SE_biog
A_SE_wwater,C_SE_wwater
A_STEL,C_STEL
A_STEW,C_STEW
A_STON,C_STON
A_ST_INCI,C_ST_INCI
A_ST_INCI_no_recov,C_ST_INCI_no_recov
A_ST_LAND,C_ST_LAND
A_ST_OTHE,C_ST_OTHE
A_Saffd,C_Saffd
A_Seedcot,C_Cottd
A_Seedcot,C_Cotton
A_Sesad,C_Sesad
A_Shemilk,C_Shemilk
A_Silk_ree,C_Silk_ree
A_Silkw,C_Silkw
A_Sisal,C_Sisal
A_Snaia,C_Snaia
A_Sorgm,C_Sorgm
A_Soybs,C_Soybs
A_Spics,C_Spics
A_Spinh,C_Spinh
A_Stras,C_Stras
A_Stris,C_Stris
A_Sugae,C_Sugae
A_Sugar,C_Frucr
A_Sugar,C_Gluce
A_Sugar,C_Isoge
A_Sugar,C_Sugar_nc
A_Sugar,C_Sugar_rc
A_Sugar,C_Sugarn
A_Sugas,C_Sugacrs
A_Sugat,C_Sugat
A_Sunfd,C_Sunfd
A_Swees,C_Swees
A_TAIR,C_TAIR
A_TAUX,C_TAUX
A_TDFU,C_TDFU
A_TDMO,C_TDMO
A_TDRT,C_TDRT
A_TDWH,C_TDWH
A_TEXT,C_TEXT
A_TE_INCI,C_TE_INCI
A_TE_INCI_no_recov,C_TE_INCI_no_recov
A_TE_LAND,C_TE_LAND
A_TE_RECY,C_TE_RECY
A_TLND,C_TLND
A_TOBC,C_TOBC
A_TPIP,C_TPIP
A_TRAI,C_TRAI
A_TWAI,C_TWAI
A_TWAS,C_TWAS
A_Talld,C_Talld
A_Taro,C_Taro
A_Teaa,C_Teaa
A_Tmand,C_Tmand
A_Tobac,C_Tobac
A_Tomas,C_Tomas
A_Trite,C_Trite
A_Tung_nuts,C_Tung_nuts
A_UN_INCI,C_UN_INCI
A_UN_INCI_no_recov,C_UN_INCI_no_recov
A_UN_LAND,C_UN_LAND
A_UN_OTHE,C_UN_OTHE
A_UN_RECY,C_UN_RECY
A_Vania,C_Vania
A_Vegfats,C_Margd
A_Vegfats,C_Margt
A_Vegfats,C_Oil_rice
A_Vegfats,C_Oil_saff
A_Vegfats,C_Oil_sesa
A_Vegfats,C_Oil_tung
A_Vegleg_nes,C_Vegleg_nes
A_Vetcs,C_Vetcs
A_WATR,C_WATR
A_WOOW,C_WOOW
A_WO_OTHE,C_WO_OTHE
A_Walnd,C_Walnd
A_Walnl,C_Walnl
A_Wates,C_Wates
A_Wheat,C_Wheat
A_Whflour,C_Flour_whea
A_Whflour,C_Gluten_wht
A_Whflour,C_Starch_whea
A_Wine,C_Wine
A_Yams,C_Yams
A_auto,C_auto
A_bus,C_bus
A_frtrop_nes,C_frtrop_nes
A_lBufmeat,C_Bufmeat
A_lCammeat,C_Othanpr
A_lCatmeat,C_Catmeat
A_lGoameat,C_Goameat
A_lPolmeat,C_Polmeat
A_lShemeat,C_Shemeat
A_lSwmeat,C_Pigmeat
A_oFibrs,C_oFibrs
A_oFru_cit,C_oFru_cit
A_oFru_fresh,C_oFru_fresh
A_oFru_pom,C_oFru_pom
A_oFru_ston,C_oFru_ston
A_oVege_fresh,C_oVege_fresh
A_pBovmeat,C_Meat_beef
A_pBovmeat,C_Meat_buff
A_pDermeat,C_Live_prep
A_pDermeat,C_Meat_drie
A_pDermeat,C_Meat_extr
A_pDermeat,C_Meat_homo
A_pMuGomeat,C_Meat_goat
A_pMuGomeat,C_Meat_shee
A_pOthmeat,C_Meat_ass
A_pOthmeat,C_Meat_game
A_pOthmeat,C_Meat_goos
A_pOthmeat,C_Meat_hors
A_pOthmeat,C_Meat_mule
A_pOthmeat,C_Meat_nes
A_pOthmeat,C_Meat_ocAM
A_pOthmeat,C_Meat_othe
A_pOthmeat,C_Meat_prnes
A_pOthmeat,C_Meat_rabb
A_pPigmeat,C_Meat_pig
A_pPolmeat,C_Meat_chic
A_pPolmeat,C_Meat_duck
A_pPolmeat,C_Meat_turk
A_palm,C_palm
A_truck,C_truck
A_WOOD,C_WOOD
EF_AGSL,EF_AGSL
EF_ANTH,EF_ANTH
EF_BIOD,EF_BIOD
EF_BIOG,EF_BIOG
EF_BITU,EF_BITU
EF_BKBP,EF_BKBP
EF_CHAR,EF_CHAR
EF_COIL,EF_COIL
EF_COKC,EF_COKC
EF_COKE,EF_COKE
EF_COOG,EF_COOG
EF_COTA,EF_COTA
EF_DOIL,EF_DOIL
EF_ETHA,EF_ETHA
EF_FOIL,EF_FOIL
EF_FORE,EF_FORE
EF_GASE,EF_GASE
EF_GASL,EF_GASL
EF_GCOK,EF_GCOK
EF_GJET,EF_GJET
EF_KERO,EF_KERO
EF_KJET,EF_KJET
EF_LIBC,EF_LIBC
EF_LPGA,EF_LPGA
EF_LUBR,EF_LUBR
EF_MBFG,EF_MBFG
EF_MBIO,EF_MBIO
EF_MGSL,EF_MGSL
EF_MGWG,EF_MGWG
EF_MOSG,EF_MOSG
EF_NAPT,EF_NAPT
EF_NSPP,EF_NSPP
EF_OTBC,EF_OTBC
EF_PARW,EF_PARW
EF_PATF,EF_PATF
EF_PEAT,EF_PEAT
EF_PETC,EF_PETC
EF_RGAS,EF_RGAS
EF_SUBC,EF_SUBC
EF_WHSP,EF_WHSP
F_HOUS,C_heat_HOUS
M_Nfert,M_Nfert
M_P2O5fert,M_P2O5fert
M_feed_ener,M_feed_ener
M_feed_prot,M_feed_prot
M_fuel_TAIR,M_fuel_TAIR
M_fuel_TLND,M_fuel_TLND
M_fuel_TRAI,M_fuel_TRAI
M_fuel_TWAS,M_fuel_TWAS
M_heat_CONS,M_heat_CONS
M_heat_FISH,M_heat_FISH
M_heat_HOUS,M_heat_HOUS
M_heat_STEL,M_heat_STEL
M_heat_TPIP,M_heat_TPIP
M_heat_WOOD,M_heat_WOOD
M_heat_agriculture,M_heat_agriculture
M_heat_chemicals,M_heat_chemicals
M_heat_commercial,M_heat_commercial
M_heat_food,M_heat_food
M_heat_machinery,M_heat_machinery
M_heat_mine,M_heat_mine
M_heat_motor,M_heat_motor
M_heat_non_ferrous,M_heat_non_ferrous
M_heat_non_metallic,M_heat_non_metallic
M_heat_other,M_heat_other
M_heat_paper,M_heat_paper
M_heat_textile,M_heat_textile
M_rGlas,M_rGlas
M_wAlum,M_wAlum
M_wAsh,M_wAsh
M_wBatt,M_wBatt
M_wCons,M_wCons
M_wCopp,M_wCopp
M_wDisc_eq,M_wDisc_eq
M_wDisc_veh,M_wDisc_veh
M_wFood,M_wFood
M_wGlas,M_wGlas
M_wHazar,M_wHazar
M_wLead,M_wLead
M_wManu,M_wManu
M_wMix_met,M_wMix_met
M_wMix_nonferr,M_wMix_nonferr
M_wPape,M_wPape
M_wPlas,M_wPlas
M_wPrec,M_wPrec
M_wSewage,M_wSewage
M_wSteel,M_wSteel
M_wText,M_wText
M_wUnsort,M_wUnsort
M_wWood,M_wWood
A_HWAT,C_heat_HWAT
A_Beef_proc,C_Beef_ges
A_Beef_proc,C_Beef_ked
A_Beef_proc,C_Beef_ons
A_Beef_proc,C_Beef_veal
A_Pork_proc,C_Pork_ges
A_Pork_proc,C_Pork_ons
M_K2Ofert,M_K2Ofert
A_POWT,C_POWT
A_EBOIL,C_heat_EBOIL
A_HPUMP,C_heat_HPUMP
A_HCHEM,C_elec_HCHEM
A_Pork_proc,C_Pork_ham
A_pDermeat,C_Anim_ofat
A_pDermeat,C_Fat_ac
A_pDermeat,C_Fat_nes
A_pDermeat,C_Fat_sub
A_pDermeat,C_Lard
A_pDermeat,C_Lardl
A_pDermeat,C_Oils_nes
A_BIOF,C_BIOF
A_BIOP,C_BIOP
A_BIOS,C_BIOS