flowobject,activitytype
C_BRIK,M_BRIK
C_CMNT,M_CMNT
C_COMP,M_COMP
C_CONS,M_CONS
C_CRMC,M_CRMC
C_EDUC,M_EDUC
C_ELMA,M_ELMA
C_FABM,M_FABM
C_FAUX,M_FAUX
C_FINS,M_FINS
C_FINT,M_FINT
C_FSHP,M_FSHP
C_FURN,M_FURN
C_GARM,M_GARM
C_GASD,M_GASD
C_HEAL,M_HEAL
C_HORE,M_HORE
C_INCF,M_INCF
C_LETH,M_LETH
C_MARE,M_MARE
C_MDIA,M_MDIA
C_MEIN,M_MEIN
C_METC,M_METC
C_MOTO,M_MOTO
C_OBIO,M_OBIO
C_OBUS,M_OBUS
C_OFMA,M_OFMA
C_ONMM,M_ONMM
C_ORGA,M_ORGA
C_OSER,M_OSER
C_PADF,M_PADF
C_PAPE,M_PAPE
C_POWD,M_POWD
C_POWT,M_POWT
C_PREM,M_PREM
C_PRHH,M_PRHH
C_PTEL,M_PTEL
C_RATV,M_RATV
C_REAL,M_REAL
C_RECR,M_RECR
C_RESD,M_RESD
C_RYMS,M_RYMS
C_TAIR,M_TAIR
C_TAUX,M_TAUX
C_TDFU,M_TDFU
C_TDMO,M_TDMO
C_TDRT,M_TDRT
C_TDWH,M_TDWH
C_TLND,M_TLND
C_TOBC,M_TOBC
C_TPIP,M_TPIP
C_TRAI,M_TRAI
C_TWAI,M_TWAI
C_TWAS,M_TWAS
C_WATR,M_WATR
C_WOOD,M_WOOD
C_auto,M_auto
C_truck,M_truck
C_CHMF,M_CHMF
C_FIBR,M_FIBR
C_MACH,M_MACH
C_OTRE,M_OTRE
C_POWE,M_POWE
C_NUCF,M_NUCF
C_bus,M_bus
C_ALUM,M_ALUM
C_GLAS,M_GLAS
C_LZTP,M_LZTP
C_ONFM,M_ONFM
C_STEL,M_STEL
C_TEXT,M_TEXT
C_elec_POWO,M_elec_POWO
C_OGPL,M_OGPL
C_PLAS,M_PLAS
C_PULP,M_PULP
C_RUBP,M_RUBP
C_SDCL,M_SDCL
C_STON,M_STON
C_COPP,M_COPP
C_ADDC,M_ADDC
C_FORE_comb,M_FORE
C_ORAN,M_ORAN
C_FISH,M_FISH
C_BIOD,M_BIOD
C_DOIL,M_DOIL
C_FOIL,M_FOIL
C_GASE,M_GASE
C_LPGA,M_LPGA
C_MBIO,M_MBIO
C_WHSP,M_WHSP
C_FORE,M_FORE
C_COKE,M_COKE
C_COOG,M_COOG
C_MBFG,M_MBFG
C_OTBC,M_OTBC
C_AGSL,M_AGSL
C_KJET,M_KJET
C_BIOG,M_BIOG
C_MGSL,M_MGSL
C_BKBP,M_BKBP
C_CHAR,M_CHAR
C_LIBC,M_LIBC
C_PATF,M_PATF
C_NSPP,M_NSPP
C_PETC,M_PETC
C_SUBC,M_SUBC
C_ANTH,M_ANTH
C_COTA,M_COTA
C_KERO,M_KERO
C_MGWG,M_MGWG
C_COIL,M_COIL
C_MOSG,M_MOSG
C_NAPT,M_NAPT
C_RGAS,M_RGAS
C_COKC,M_COKC
C_GJET,M_GJET
C_GCOK,M_GCOK
C_BITU,M_BITU
C_PEAT,M_PEAT
C_LUBR,M_LUBR
C_GASL,M_GASL
C_ETHA,M_ETHA
C_PARW,M_PARW
C_HWAT,M_HWAT
C_Barly,M_Barly
C_Broay,M_Broay
C_Eggsl,M_Eggsl
C_Graid,M_Graid
C_Linsd,M_Linsd
C_Maize,M_Maize
C_Millt,M_Millt
C_Oatss,M_Oatss
C_Peasy,M_Peasy
C_Poppd,M_Poppd
C_Potas,M_Potas
C_Pulss,M_Pulss
C_Raped,M_Raped
C_Ryee,M_Ryee
C_Soybs,M_Soybs
C_Sunfd,M_Sunfd
C_Trite,M_Trite
C_Vegleg_nes,M_Vegleg_nes
C_Vetcs,M_Vetcs
C_Wheat,M_Wheat
C_Beany,M_Beany
C_Canad,M_Canad
C_Chick,M_Chick
C_Cottd,M_Cottd
C_Groul,M_Groul
C_Lupis,M_Lupis
C_Ricey,M_Ricey
C_Saffd,M_Saffd
C_Sorgm,M_Sorgm
C_Ceres,M_Ceres
C_Lents,M_Lents
C_Mustd,M_Mustd
C_Buckt,M_Buckt
C_Castd,M_Castd
C_Garlc,M_Garlc
C_Sesad,M_Sesad
C_Swees,M_Swees
C_Yams,M_Yams
C_Carrs,M_Carrs
C_Hempd,M_Hempd
C_Melonse,M_Melonse
C_Cowpea,M_Cowpea
C_Taro,M_Taro
C_Oilss,M_Oilss
C_Piges,M_Piges
C_Sugae,M_Sugae
C_oVege_fresh,M_oVege_fresh
C_Cabbs,M_Cabbs
C_Cocon,M_Cocon
C_Maizn,M_Maizn
C_Nutss,M_Nutss
C_Roots,M_Roots
C_Bambs,M_Bambs
C_Fonio,M_Fonio
C_Grou_shld,M_Grou_shld
C_Cassa,M_Cassa
C_palm,M_palm
C_Quina,M_Quina
C_Pfert,M_Pfert
C_Kfert,M_Kfert
C_Bran_bar,M_Bran_bar
C_Bran_cer,M_Bran_cer
C_Bran_mai,M_Bran_mai
C_Bran_mil,M_Bran_mil
C_Bran_oat,M_Bran_oat
C_Bran_pul,M_Bran_pul
C_Bran_ric,M_Bran_ric
C_Bran_rye,M_Bran_rye
C_Bran_whe,M_Bran_whe
C_Caros,M_Caros
C_Cassd,M_Cassd
C_Coco_husk,M_Coco_husk
C_Germe,M_Germe
C_Gluten_mais,M_Gluten_mais
C_Gluten_rice,M_Gluten_rice
C_Gluten_wht,M_Gluten_wht
C_Milk_skim_cow,M_Milk_skim_cow
C_Milk_skim_dried,M_Milk_skim_dried
C_Molas,M_Molas
C_Oil_soyb,M_Oil_soyb
C_Whey_dry,M_Whey_dry
C_Wheyh,M_Wheyh
C_Buttk,M_Buttk
C_Casen,M_Casen
C_Flour_root,M_Flour_root
C_Germt,M_Germt
C_Ghee_cow,M_Ghee_cow
C_Milk_dry,M_Milk_dry
C_Starch_pota,M_Starch_pota
C_Sugar_rc,M_Sugar_rc
C_Sugat,M_Sugat
C_Appls,M_Appls
C_Cauli,M_Cauli
C_Chics,M_Chics
C_Feedn,M_Feedn
C_Flour_barl,M_Flour_barl
C_Oatsd,M_Oatsd
C_Rice_brok,M_Rice_brok
C_Starch_cass,M_Starch_cass
C_Tallw,M_Tallw
C_Cer_prep,M_Cer_prep
C_Flour_puls,M_Flour_puls
C_Peasn,M_Peasn
C_Pumps,M_Pumps
C_Rice_husk,M_Rice_husk
C_Wates,M_Wates
C_Bran_tri,M_Bran_tri
C_Copra,M_Copra
C_Milk_prod,M_Milk_prod
C_Flour_maiz,M_Flour_maiz
C_Meat_goat,M_Meat_goat
C_Meat_hors,M_Meat_hors
C_Offas_hors,M_Offas_hors
C_Whey_con,M_Whey_con
C_Bran_mix,M_Bran_mix
C_Flour_mixe,M_Flour_mixe
C_Honel,M_Honel
C_Starch_maiz,M_Starch_maiz
C_Bran_buc,M_Bran_buc
C_Bran_sor,M_Bran_sor
C_Cucus,M_Cucus
C_Mangp,M_Mangp
C_Melon,M_Melon
C_Milk_skim_buff,M_Milk_skim_buff
C_Starch_whea,M_Starch_whea
C_Oil_olivres,M_Oil_olivres
C_Flour_rice,M_Flour_rice
C_Fat_pig,M_Fat_pig
C_Flour_cass,M_Flour_cass
C_Offae_shee,M_Offae_shee
C_Oil_rape,M_Oil_rape
C_Barld,M_Barld
C_Offa_chick,M_Offa_chick
C_Leeks,M_Leeks
C_Meat_ass,M_Meat_ass
C_Meat_mule,M_Meat_mule
C_Tomas,M_Tomas
C_Oil_saff,M_Oil_saff
C_Flour_pota,M_Flour_pota
C_Lacte,M_Lacte
C_Oils_nes,M_Oils_nes
C_Tapis,M_Tapis
C_Apris,M_Apris
C_Figss,M_Figss
C_Figsd,M_Figsd
C_Offae_cow,M_Offae_cow
C_Offas_goat,M_Offas_goat
C_Offae_pigs,M_Offae_pigs
C_Pears,M_Pears
C_Quins,M_Quins
C_Sugacrs,M_Sugacrs
C_Onioy,M_Onioy
C_Macai,M_Macai
C_Sugar_nc,M_Sugar_nc
C_Barlt,M_Barlt
C_Starch_rice,M_Starch_rice
C_Mixes,M_Mixes
C_Oil_sesa,M_Oil_sesa
C_Tapia,M_Tapia
C_Rice_milhusk,M_Rice_milhusk
C_Flour_frui,M_Flour_frui
C_Plums,M_Plums
C_Milk_skim_she,M_Milk_skim_she
C_Fat_nes,M_Fat_nes
C_Banas,M_Banas
C_Coco_pow,M_Coco_pow
C_Flour_rye,M_Flour_rye
C_oFru_ston,M_oFru_ston
C_Graps,M_Graps
C_Mangs,M_Mangs
C_Mate,M_Mate
C_Plans,M_Plans
C_Rice_mill,M_Rice_mill
C_Beann,M_Beann
C_Chee_cow_sk,M_Chee_cow_sk
C_Okraa,M_Okraa
C_Olivs,M_Olivs
C_Bran_fon,M_Bran_fon
C_Dates,M_Dates
C_Flour_whea,M_Flour_whea
C_Avocs,M_Avocs
C_Fat_cow,M_Fat_cow
C_Flour_sorg,M_Flour_sorg
C_Letty,M_Letty
C_Oil_palm,M_Oil_palm
C_Oil_sunf,M_Oil_sunf
C_Onion,M_Onion
C_Cklins,M_Cklins
C_Ckmust,M_Ckmust
C_Ckrapes,M_Ckrapes
C_Cksoyb,M_Cksoyb
C_Cksunf,M_Cksunf
C_Ckcotton,M_Ckcotton
C_Ckgound,M_Ckgound
C_Ckmaize,M_Ckmaize
C_Cksaffl,M_Cksaffl
C_Cksesam,M_Cksesam
C_Ckcopra,M_Ckcopra
C_Ckpalm,M_Ckpalm
C_Ckriceb,M_Ckriceb
C_Ckkapok,M_Ckkapok
C_Almod,M_Almod
C_Anisr,M_Anisr
C_Apriy,M_Apriy
C_Artis,M_Artis
C_Aspas,M_Aspas
C_Beer_barl,M_Beer_barl
C_Berrs,M_Berrs
C_Bev_dstl,M_Bev_dstl
C_Blues,M_Blues
C_Brazd,M_Brazd
C_Brazl,M_Brazl
C_Bread,M_Bread
C_Butt_cow,M_Butt_cow
C_Butt_goat,M_Butt_goat
C_Cashd,M_Cashd
C_Cashl,M_Cashl
C_Cer_brkf,M_Cer_brkf
C_Chee_goat,M_Chee_goat
C_Chee_proc,M_Chee_proc
C_Chee_sheep,M_Chee_sheep
C_Chee_cow_wh,M_Chee_cow_wh
C_Chers,M_Chers
C_Cherr,M_Cherr
C_Chest,M_Chest
C_Chily,M_Chily
C_Chiln,M_Chiln
C_Chocs,M_Chocs
C_Cinn,M_Cinn
C_Clovs,M_Clovs
C_Coco_but,M_Coco_but
C_Cocod,M_Cocod
C_Coff_ext,M_Coff_ext
C_Coffe_roas,M_Coffe_roas
C_Coff_sub,M_Coff_sub
C_Crans,M_Crans
C_Creah,M_Creah
C_Currs,M_Currs
C_Eggpl,M_Eggpl
C_Fat_goat,M_Fat_goat
C_Fat_live,M_Fat_live
C_Fat_poul,M_Fat_poul
C_Fat_poul_ren,M_Fat_poul_ren
C_Fat_sheep,M_Fat_sheep
C_Flour_must,M_Flour_must
C_Frucr,M_Frucr
C_Fruhom,M_Fruhom
C_Frudry,M_Frudry
C_oFru_fresh,M_oFru_fresh
C_Fruprep,M_Fruprep
C_frtrop_nes,M_frtrop_nes
C_Gingr,M_Gingr
C_Gooss,M_Gooss
C_Grapf,M_Grapf
C_Grapt,M_Grapt
C_Grou_prep,M_Grou_prep
C_Haze_shld,M_Haze_shld
C_Juice_appl_con,M_Juice_appl_con
C_Juice_appl,M_Juice_appl
C_Juice_frui,M_Juice_frui
C_Juice_grapes,M_Juice_grapes
C_Juice_grapfrt,M_Juice_grapfrt
C_Juice_grapef,M_Juice_grapef
C_Juice_lemo_con,M_Juice_lemo_con
C_Juice_lemo,M_Juice_lemo
C_Juice_oran_con,M_Juice_oran_con
C_Juice_oran,M_Juice_oran
C_Juice_pine,M_Juice_pine
C_Juice_pine_con,M_Juice_pine_con
C_Juice_toma,M_Juice_toma
C_Juice_vege,M_Juice_vege
C_Kiwi,M_Kiwi
C_Lard,M_Lard
C_Lemos,M_Lemos
C_Margt,M_Margt
C_Meat_prnes,M_Meat_prnes
C_Meat_nes,M_Meat_nes
C_Meat_chic,M_Meat_chic
C_Meat_drie,M_Meat_drie
C_Meat_duck,M_Meat_duck
C_Meat_extr,M_Meat_extr
C_Meat_game,M_Meat_game
C_Meat_goos,M_Meat_goos
C_Meat_homo,M_Meat_homo
C_Meat_rabb,M_Meat_rabb
C_Meat_shee,M_Meat_shee
C_Meat_turk,M_Meat_turk
C_Mushs,M_Mushs
C_Mush_can,M_Mush_can
C_Mush_dry,M_Mush_dry
C_Nutms,M_Nutms
C_Nuts,M_Nuts
C_Offas_buff,M_Offas_buff
C_Offa_duck,M_Offa_duck
C_Offa_geese,M_Offa_geese
C_Offa_turkey,M_Offa_turkey
C_Oil_grou,M_Oil_grou
C_Oil_must,M_Oil_must
C_Oil_olive,M_Oil_olive
C_Oil_popp,M_Oil_popp
C_Orans,M_Orans
C_Papas,M_Papas
C_Peacs,M_Peacs
C_Peanr,M_Peanr
C_Pepp,M_Pepp
C_Perss,M_Perss
C_Pines,M_Pines
C_Pined,M_Pined
C_Pists,M_Pists
C_Plum,M_Plum
C_Raiss,M_Raiss
C_Rasps,M_Rasps
C_Snaia,M_Snaia
C_Soyace,M_Soyace
C_Spics,M_Spics
C_Spinh,M_Spinh
C_Stras,M_Stras
C_Sugarn,M_Sugarn
C_Sween,M_Sween
C_Sweed,M_Sweed
C_Tmand,M_Tmand
C_Teaa,M_Teaa
C_Tomae,M_Tomae
C_Tomad,M_Tomad
C_Vania,M_Vania
C_Vegeh,M_Vegeh
C_Wafes,M_Wafes
C_Walnd,M_Walnd
C_Wheye,M_Wheye
C_Wine,M_Wine
C_Almol,M_Almol
C_Arecs,M_Arecs
C_Cider,M_Cider
C_Coffn,M_Coffn
C_Flour_nes,M_Flour_nes
C_Hazel,M_Hazel
C_Oil_coco,M_Oil_coco
C_Oil_cott,M_Oil_cott
C_Oil_hydr,M_Oil_hydr
C_Oil_maiz,M_Oil_maiz
C_Pasty,M_Pasty
C_Potan,M_Potan
C_Walnl,M_Walnl
C_oFru_cit,M_oFru_cit
C_Kola,M_Kola
C_Cashe,M_Cashe
C_Flour_trit,M_Flour_trit
C_Gluce,M_Gluce
C_Meat_pig,M_Meat_pig
C_Oil_rice,M_Oil_rice
C_Beer_millet,M_Beer_millet
C_Bev_ferm,M_Bev_ferm
C_Casss,M_Casss
C_Maltt,M_Maltt
C_Malt_ext,M_Malt_ext
C_Butt_buff,M_Butt_buff
C_Chee_buff,M_Chee_buff
C_Flour_buck,M_Flour_buck
C_Flour_mill,M_Flour_mill
C_Juice_mang,M_Juice_mang
C_Offas_came,M_Offas_came
C_Oil_pal_ker,M_Oil_pal_ker
C_Yoght,M_Yoght
C_Coco_pas,M_Coco_pas
C_Margd,M_Margd
C_Oil_lins,M_Oil_lins
C_Stris,M_Stris
C_Fat_buff,M_Fat_buff
C_Cocoa,M_Cocoa
C_Ghee_buff,M_Ghee_buff
C_Soyate,M_Soyate
C_Soyard,M_Soyard
C_Fat_cam,M_Fat_cam
C_Isoge,M_Isoge
C_Oil_hemp,M_Oil_hemp
C_Butt_sheep,M_Butt_sheep
C_Juice_tang,M_Juice_tang
C_oFru_pom,M_oFru_pom
C_Beer_maiz,M_Beer_maiz
C_Beer_sorg,M_Beer_sorg
C_Butts,M_Butts
C_Flour_foni,M_Flour_foni
C_Kari,M_Kari
C_Fat_othe,M_Fat_othe
C_Meat_othe,M_Meat_othe
C_CHEM,M_CHEM
C_REFF,M_REFF
C_N_urea,M_N_urea
C_NP_fert,M_NP_fert
C_N_AmmNit,M_N_AmmNit
C_N_AmmSol,M_N_AmmSol
C_N_solution,M_N_solution
C_NPK,M_NPK
C_N_CaAmNit,M_N_CaAmNit
C_NK_fert,M_NK_fert
C_PK_fert,M_PK_fert
C_ELEC,M_ELEC
C_Meat_beef,M_Meat_beef
C_Meat_buff,M_Meat_buff
C_cOil_beans,M_cOil_beans
C_Catmeat,M_Catmeat
C_Catmilk,M_Catmilk
C_Goameat,M_Goameat
C_Coamilk,M_Coamilk
C_Othanpr,M_Othanpr
C_Pigmeat,M_Pigmeat
C_Polmeat,M_Polmeat
C_Shemeat,M_Shemeat
C_Shemilk,M_Shemilk
C_Bufmeat,M_Bufmeat
C_Bufmilk,M_Bufmilk
C_Cammilk,M_Cammilk
C_vOil_nes,M_vOil_nes
C_Tung_nuts,M_Tung_nuts
C_Talld,M_Talld
C_Kapot,M_Kapot
C_Kapol,M_Kapol
C_Kapod,M_Kapod
C_Hemp,M_Hemp
C_Hide_cow,M_Hide_cow
C_Hops,M_Hops
C_ONFO,M_ONFO
C_IRON,M_IRON
C_PfertBIOF,M_PfertBIOF
C_PfertBIOP,M_PfertBIOP
C_PfertBIOS,M_PfertBIOS
C_PfertCOMF,M_PfertCOMF
C_PfertCOMW,M_PfertCOMW
C_PfertMANC,M_PfertMANC
C_Skin_goat,M_Skin_goat
C_Skin_she,M_Skin_she
C_Tobac,M_Tobac
C_ALUO,M_ALUO
C_Beesx,M_Beesx
C_COPO,M_COPO
C_Cotton,M_Cotton
C_Fat_ac,M_Fat_ac
C_LZTO,M_LZTO
C_Lardl,M_Lardl
C_NIKO,M_NIKO
C_PREO,M_PREO
C_Flaxw,M_Flaxw
C_Fat_sub,M_Fat_sub
C_Hide_buff,M_Hide_buff
C_Peppt,M_Peppt
C_Silk_ree,M_Silk_ree
C_Silkw,M_Silkw
C_Bastr,M_Bastr
C_Jute,M_Jute
C_Ramie,M_Ramie
C_Rubber,M_Rubber
C_Sisal,M_Sisal
C_oFibrs,M_oFibrs
C_Vegew,M_Vegew
C_Manila,M_Manila
C_Oil_kapo,M_Oil_kapo
C_Coirr,M_Coirr
C_Pyred,M_Pyred
C_Agavs,M_Agavs
C_Jojod,M_Jojod
C_Meat_ocAM,M_Meat_ocAM
C_Alc_food,M_Alc_food
C_ALUW,M_ALUW
C_AL_INCI,M_AL_INCI
C_AL_LAND,M_AL_LAND
C_ASHW,M_ASHW
C_AS_LAND,M_AS_LAND
C_BA_RECY,M_BA_RECY
C_CONW,M_CONW
C_COPW,M_COPW
C_CO_LAND,M_CO_LAND
C_CU_INCI,M_CU_INCI
C_CU_LAND,M_CU_LAND
C_DE_LAND,M_DE_LAND
C_DE_RECY,M_DE_RECY
C_DV_RECY,M_DV_RECY
C_FOOD_w_water,M_FOOD_w_water
C_FO_RECY,M_FO_RECY
C_GLAS_reuse,M_GLAS_reuse
C_GLAW,M_GLAW
C_GL_LAND,M_GL_LAND
C_HA_LAND,M_HA_LAND
C_HA_RECY,M_HA_RECY
C_LZTW,M_LZTW
C_LZT_INCI,M_LZT_INCI
C_LZT_LAND,M_LZT_LAND
C_MA_RECY,M_MA_RECY
C_MNF_RECY,M_MNF_RECY
C_ONFW,M_ONFW
C_ONF_INCI,M_ONF_INCI
C_ONF_LAND,M_ONF_LAND
C_PAPR,M_PAPR
C_PLAW,M_PLAW
C_PREW,M_PREW
C_SE_LAND,M_SE_LAND
C_SE_RECY,M_SE_RECY
C_SE_biog,M_SE_biog
C_SE_wwater,M_SE_wwater
C_STEW,M_STEW
C_ST_LAND,M_ST_LAND
C_TE_RECY,M_TE_RECY
C_UN_LAND,M_UN_LAND
C_UN_RECY,M_UN_RECY
C_WOOW,M_WOOW
C_FO_OTHE,M_FO_OTHE
C_HA_INCI,M_HA_INCI
C_HA_OTHE,M_HA_OTHE
C_INCL,M_INCL
C_INCP,M_INCP
C_INCW,M_INCW
C_LANF,M_LANF
C_LANL,M_LANL
C_LANP,M_LANP
C_LANW,M_LANW
C_PA_OTHE,M_PA_OTHE
C_TE_INCI,M_TE_INCI
C_TE_LAND,M_TE_LAND
C_UN_OTHE,M_UN_OTHE
C_WO_OTHE,M_WO_OTHE
C_CO_INCI,M_CO_INCI
C_CO_INCI_no_recov,M_CO_INCI_no_recov
C_DE_INCI_no_recov,M_DE_INCI_no_recov
C_GL_INCI_no_recov,M_GL_INCI_no_recov
C_HA_INCI_no_recov,M_HA_INCI_no_recov
C_INCF_no_recov,M_INCF_no_recov
C_INCL_no_recov,M_INCL_no_recov
C_INCP_no_recov,M_INCP_no_recov
C_INCW_no_recovery,M_INCW_no_recovery
C_SE_INCI,M_SE_INCI
C_SE_INCI_no_recov,M_SE_INCI_no_recov
C_TE_INCI_no_recov,M_TE_INCI_no_recov
C_UN_INCI,M_UN_INCI
C_UN_INCI_no_recov,M_UN_INCI_no_recov
C_BA_INCI_no_recov,M_BA_INCI_no_recov
C_BA_LAND,M_BA_LAND
C_CO_OTHE,M_CO_OTHE
C_DV_LAND,M_DV_LAND
C_MA_LAND,M_MA_LAND
C_MA_OTHE,M_MA_OTHE
C_MNF_LAND,M_MNF_LAND
C_MNF_OTHE,M_MNF_OTHE
C_PL_OTHE,M_PL_OTHE
C_SE_OTHE,M_SE_OTHE
C_ST_OTHE,M_ST_OTHE
C_GL_INCI,M_GL_INCI
C_ST_INCI,M_ST_INCI
C_DE_INCI,M_DE_INCI
C_MNF_INCI_no_recov,M_MNF_INCI_no_recov
C_ST_INCI_no_recov,M_ST_INCI_no_recov
C_MA_INCI,M_MA_INCI
C_MA_INCI_no_recov,M_MA_INCI_no_recov
C_MNF_INCI,M_MNF_INCI
C_BA_INCI,M_BA_INCI
C_DE_OTHE,M_DE_OTHE
C_DV_INCI,M_DV_INCI
C_feed_energy,M_feed_energy
C_feed_protein,M_feed_protein
C_Silk_wool,M_Silk_wool
C_bot_water,M_bot_water
C_EXTO,M_EXTO
C_Beef_ges,M_Beef_ges
C_Beef_ked,M_Beef_ked
C_Beef_ons,M_Beef_ons
C_Beef_veal,M_Beef_veal
C_Beef_led,M_Beef_led
C_Beef_smoked,M_Beef_smoked
C_Beef_nes,M_Beef_nes
C_Pork_ges,M_Pork_ges
C_Pork_ons,M_Pork_ons
C_Pork_pig,M_Pork_pig
C_Pork_led,M_Pork_led
C_Pork_chilled,M_Pork_chilled
C_Pork_ham,M_Pork_ham
C_F_aqua,A_Nat_Fish
C_F_capture,A_Nat_Fish
C_elec_CHP,A_Nat_Elec
C_elec_HCHEM,A_Nat_Elec
C_elec_HWAT,A_Nat_Elec
C_elec_POWB,A_Nat_Elec
C_elec_POWC,A_Nat_Elec
C_elec_POWG,A_Nat_Elec
C_elec_POWH,A_Nat_Elec
C_elec_POWM,A_Nat_Elec
C_elec_POWP,A_Nat_Elec
C_elec_POWS,A_Nat_Elec
C_elec_POWW,A_Nat_Elec
C_elec_POWN,A_Nat_Elec
C_elec_POWZ,A_Nat_Elec
C_elec_POWO,A_Nat_Elec
C_elec_BIOF,A_Nat_Elec
C_elec_BIOP,A_Nat_Elec
C_elec_BIOS,A_Nat_Elec
C_elec_MANC,A_Nat_Elec
C_elec_UN_INCI,A_Nat_Elec
C_elec_HA_INCI,A_Nat_Elec
C_elec_INCF,A_Nat_Elec
C_elec_INCP,A_Nat_Elec
C_elec_INCW,A_Nat_Elec
C_elec_SE_INCI,A_Nat_Elec
C_elec_TE_INCI,A_Nat_Elec
C_elec_INCL,A_Nat_Elec
C_elec_MA_INCI,A_Nat_Elec
C_elec_BA_INCI,A_Nat_Elec
C_heat_CHP,A_Nat_Heat
C_heat_HWAT,A_Nat_Heat
C_heat_HPUMP,A_Nat_Heat
C_heat_EBOIL,A_Nat_Heat
C_heat_BIOF,A_Nat_Heat
C_heat_BIOP,A_Nat_Heat
C_heat_BIOS,A_Nat_Heat
C_heat_MANC,A_Nat_Heat
C_heat_UN_INCI,A_Nat_Heat
C_heat_HA_INCI,A_Nat_Heat
C_heat_INCF,A_Nat_Heat
C_heat_INCP,A_Nat_Heat
C_heat_INCW,A_Nat_Heat
C_heat_SE_INCI,A_Nat_Heat
C_heat_TE_INCI,A_Nat_Heat
C_heat_INCL,A_Nat_Heat
C_heat_MA_INCI,A_Nat_Heat
C_heat_BA_INCI,A_Nat_Heat
C_BIOF,M_BIOF
C_BIOP,M_BIOP
C_BIOS,M_BIOS
C_BOTL_GLM,M_BOTL_GLM
C_BOTL_GLS,M_BOTL_GLS
C_BOTL_PET,M_BOTL_PET
C_CAN_ALD,M_CAN_ALD
C_CAN_STEL,M_CAN_STEL
C_CARDB,M_CARDB
C_FOIL_PLA,M_FOIL_PLA
C_JAR_GLS,M_JAR_GLS
C_MANC,M_MANC
C_Nfer_BIOF,M_Nfer_BIOF
C_Nfer_BIOP,M_Nfer_BIOP
C_Nfer_BIOS,M_Nfer_BIOS
C_Nfer_MANC,M_Nfer_MANC
C_PACK_OPLA,M_PACK_OPLA
C_PM_INCI,M_PM_INCI
C_PM_LAND,M_PM_LAND
C_Pfert_BIOF,M_Pfert_BIOF
C_Pfert_BIOP,M_Pfert_BIOP
C_Pfert_BIOS,M_Pfert_BIOS
C_Pfert_MANC,M_Pfert_MANC
C_SHEET_PA,M_SHEET_PA
C_SHEET_PAPL,M_SHEET_PAPL
C_SHEET_PAPLAL,M_SHEET_PAPLAL
C_TETRA_PPA,M_TETRA_PPA
C_feed_beer,M_feed_beer
C_feed_dist,M_feed_dist
C_feed_wine,M_feed_wine
C_MM_LAND,M_MM_LAND
C_MM_RECY,M_MM_RECY
C_Live_prep,M_Live_prep
C_CONTAI_GLS,M_CONTAI_GLS
C_Oil_tung,M_Oil_tung
C_MM_INCI,M_MM_INCI
C_MM_OTHE,M_MM_OTHE
C_Kapo_bre,M_Kapo_bre
C_MM_INCI_no_recov,M_MM_INCI_no_recov
C_BOTL_PLA,M_BOTL_PLA
C_TRAY_PET,M_TRAY_PET
C_SHEET_PLAL,M_SHEET_PLAL
C_BAG_PLA,M_BAG_PLA
C_TETRA_PP,M_TETRA_PP
C_SHEET_PAAL,M_SHEET_PAAL
C_FOIL_AL,M_FOIL_AL
C_CAN_ALF,M_CAN_ALF